"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4644","721","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7488","1046","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","3154","445","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6135","1116","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5193","684","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4039","762","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2960","360","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1973","423","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6363","1079","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","3562","564","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","5209","1078","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","3742","649","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","6980","1121","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","5447","747","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","5116","1005","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","4011","623","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","6744","1273","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","6112","1115","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","5239","1235","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1764","191","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","8674","1991","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","5859","1075","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","8536","1569","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","6094","748","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","4445","591","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","3791","578","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","3192","708","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","2490","266","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","3425","389","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","5863","1137","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","3722","599","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","2606","460","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","6870","778","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","3981","962","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","2355","228","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","3267","395","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","1528","179","null","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","2352","454","null","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","3035","360","null","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2774","467","null","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","4389","478","null","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","3053","328","null","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","3847","443","null","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","4596","588","null","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","6235","913","null","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","7796","837","null","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","4840","551","null","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","4794","841","null","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","4693","472","null","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","6809","1198","null","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1976","274","null","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","2553","394","null","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","7166","1264","null","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","3934","433","null","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","6875","1012","null","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","7427","1149","null","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","2844","388","null","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","3442","573","null","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","4796","400","null","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","2635","381","null","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","3320","372","null","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1629","229","null","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1810","259","null","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","2832","375","null","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","5594","871","null","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","2550","371","null","null",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","5911","925","null","null",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","2178","327","null","null",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1435","222","null","null",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1527","332","null","null",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1452","226","null","null",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","1783","216","null","null",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1820","290","null","null",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","1531","220","null","null",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","2933","445","null","null",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","2220","362","null","null",
